"name","address","rankingPosition","rating","description","numberOfReviews","priceLevel","priceRange"
"Spezia Piadina & Co","23 rue des Mathurins, 75008 Paris France","689","4.5","APERITIVO petites assiettes de dégustation en acompagnement d'un verre de vin (à partir de 5€) PIADINA galette de blé artisanale légèrement toastée, garnie de mozzarella fondue, légumes grillés, fromages et charcuterie italienne, accompagnée de roquette et copeaux de parmesan (à partir de 13€) PASTA crème de truffe & champignons bresaola, crème de basilic & roquette courgettes, crème de parmesan, pignons & menthe speck & scamorza fumé (à partir de 14€) INSALATA chicken caesar, carpaccio di manzo, assiettes de légumes grillés et charcuterie italienne, mozzarella di bufala, pasta salad (à partir de 14€) DOLCI tiramisu nutella, verrine mascarpone fraises & spéculos panna cotta & coulis de fruits rouges café gourmand (à partir de 7€) Vin au verre et ""espresso"" à l'italienne... Pour les connaisseurs, la fameuse ""Limonana"" (citronnade à la menthe fraîche)","381","$$ - $$$","$13 - $30"
"Le Herisson","78 boulevard de Belleville, 75020 Paris France","669","5",,"90","$$ - $$$","$9 - $22"
"Ao Izakaya","12 rue de Caumartin, 75009 Paris France","649","4.5","La cuisine japonaise a conquis le cœur des Parisiens ces dernières années, avec des plats tels que les ramen, les donburi et les gyoza devenant de plus en plus populaires dans les restaurants de la ville. Parmi les nombreux restaurants japonais à Paris, AO Izakaya se distingue comme l’un des plus acclamés par la presse et la critique. Nous sommes fiers de notre équipe qui s’efforce de vous offrir un service irréprochable et des produits de grande qualité pour vous faire découvrir les saveurs authentiques de la cuisine japonaise. Venez nous rendre visite et déguster notre cuisine Japonaise exceptionnelle à AO Izakaya.","823","$$$$","$20 - $80"
"Les Petits Plats","39 rue des Plantes, 75014 Paris France","653","4.5",,"483","$$ - $$$","$15 - $40"
"Black dog","26 rue des Lombards, 75004 Paris France","676","4.5",,"318","$$ - $$$","$13 - $94"
"Le P'tit Barcelone","10 rue de la Boule Rouge, 75009 Paris France","680","4.5","Un mot sur le restaurant Le P'tit Barcelone

L’AUBERGE ESPAGNOLE – Immersion dans les saveurs et l’ambiance de la Catalogne.

Ici, en face des Folies Bergère, l’ambiance festive de Barcelone se concentre dans quelques mètres carrés ! Le P'tit Barcelone joue à fond la carte de la convivialité et le fait maison mène la danse. Bar à tapas à la cuisine d'inspiration espagnole et catalane dans une salle chaleureuse à la déco moderne, le p’tit Barcelone propose également depuis peu de savoureux cocktails !!

On vient au P'tit Barcelone dès l'apéro pour manger quelques tapas incontournables (tortilla, croquetas, patatas bravas, manchego, etc.) et d’autres plus inattendues. On arrose tout ça de boissons festives (sangria, tinto de verano), de cocktails ou encore de vins (tous Espagnols).

Ouvert du Lundi au mercredi de 17H à 2H

Du jeudi au dimanche de 12H à 2H

10 Rue de la Boule Rouge 75009 Paris

De vrais produits venus d'Espagne, des épices, du goût tout simplement !","468","$$ - $$$","$15 - $30"
"Pamela Popo Marais","15 rue Francois Miron, 75004 Paris France","681","4.5","Restaurant confidentiel dans le Marais, situé à côté d’un des plus vieil immeuble de Paris. Cuisine gourmande fait maison, avec un bar à cocktails au Rez de Chaussee et restaurant à l’étage. Chaleureux et confortable, comme à la maison.","534","$$ - $$$","$30 - $80"
"Murier","42 rue Olivier de Serres Metro Convention, 75015 Paris France","706","4.5","Le restaurant est ouvert du lundi au vendredi midi et soir et propose également des plats a emporter, terrasse egalement","199","$$ - $$$","$22 - $34"
"Le Carpaccio","4 rue de Berri, 75008 Paris France","727","4.5",,"455","$$ - $$$",
"L'elfe assis","48 rue Louise Michel, 92300 Levallois-Perret France","3","4.5","Ambiance cosy, contemporaine et confort pour un concept de crêperie 100% qualité. De moelleux fauteuils entourent les tables rondes pour les dîners familiaux ou les déjeuners pro. D’agréables chaises hautes embrassent le comptoir. Un grand mur noir est habillé de schémas rigolos pour la finition déco. Zéro compromis sur la qualité avec uniquement des produits frais préparés par nos maitres crêpiers. Brunch à table le dimanche à partir de 11h30, très gourmand...(à volonté).","647","$$ - $$$","$8 - $20"
"Comme Chai Toi - Notre Dame","13 quai de Montebello, 75005 Paris France","719","4.5",,"777","$$ - $$$","$25 - $40"
"Braisenville","36 rue Condorcet Proche de Montmartre et des Grands Magasins à Opéra, 75009 Paris France","684","4.5","A casual gourmet restaurant: creative seasonal cuisine in a friendly atmosphere, where lively flavours are enhanced over charcoal embers - a pioneering technique in Paris. The best produce and wines, also served ’au naturel’. At dinner: raciones from €6 to €14 about or Tasting menu at €49 (with wine pairings at €79). At lunch: menus such as starter + main course + dessert at €22, or Carte Blanche menu at €35. Our style of cuisine invites the diner to a shared experience, a journey and an emotional feast. Every week we meet with producers as passionate as ourselves, to harvest the best seasonal produce from the Ile de France region and elsewhere. Every day, we use these ingredients to elaborate our menu with love, imagination and precision. This same quest for real ‘savoir-faire’ is evident in our selection of wines, spirits, coffee and tea: paired, or not, with each ración, natural, biodynamic and truly organic food and drink pairings.","439","$$ - $$$",
"Les Fondus de la Raclette Paris 11° - Parmentier","107 avenue Parmentier, 75011 Paris France","412","4.5","Located in the 11th arrondissement of Paris, just a few steps from the Place de la République and the Canal Saint-Martin, les Fondus de la Raclette is a Savoyard specialty restaurant and a French bistro. Find our raclette, fondue, tartiflette and braserades in a cottage ambiance in the winter and enjoy our terrace to enjoy sandwiches, gourmet salads, burgers and grills in the summer. With family or friends you will spend a convivial moment in a warm and comfortable setting. Our young and friendly staff will do its best for you to share an unforgettable experience.","108","$$ - $$$","$15 - $35"
"Archibon Bar a Vin","13 rue Rougemont (Grand Rex, Grands Boulevards, Opéra), 75009 Paris France","674","4.5","Archibon is a local winebar and wineshop. We have around 100 different bottles on our shelves’ which you can drink in or take away. We also offer a short menu of cheese, meat and cold tapas.","213","$$ - $$$","$10 - $22"
"Le Janissaire","22 allee Vivaldi, 75012 Paris France","661","4.5",,"429","$$ - $$$",
"Hanoi Ca Phe","15 Parvis de la Defense Les 4 Temps, 92800 Puteaux, La Defense France","4","4",,"643","$$ - $$$",
"Cafe Varenne","36 rue de Varenne, 75007 Paris France","657","4.5",,"613","$$ - $$$",
"Le Louis Vins","9 Rue De La Montagne Sainte-Genevieve, 75005 Paris France","699","4.5",,"485","$$ - $$$","$20 - $80"
"L'Atelier Rouliere","24 rue des Canettes, 75006 Paris France","700","4.5","Meats, grilled fish and local wines in a warm room which gives pride of place to light. At the Roulières, we have been butchers from father to son for five generations. The first ""Roulière"" butcher's shop saw the light of day in 1877 in Tours and it is only natural that the heir to this dynasty decided to perpetuate the tradition by keeping the name and by offering traditional, French cuisine that straddles the region. quality of meats. A quiet place for gourmets at reasonable prices.","687","$$ - $$$","$30 - $55"
"Aux Des Cales 17 - Legendre","181 rue Legendre, 75017 Paris France","668","4.5","L'équipe du restaurant Aux Dés Calés 17 vous accueille tous les jours de la semaine de 11h à 1h. Jeux de sociétés, formule du déjeuner qui change tous les jours, terrasse au soleil, brunch le dimanche midi : bienvenue Aux Dés Calés 17","265","$$ - $$$","$10 - $25"
"Canard & Champagne","57 Passage des Panoramas, 75002 Paris France","707","4.5","We are the French Paradox. We serve duck and champagne, and we do it great. Come and taste the French flavour in our 200 years old restaurant right in the middle of Paris!","1005","$$ - $$$","$12 - $65"
"La Fine Mousse","6 avenue Jean Aicard, 75011 Paris France","685","4.5","La Fine Mousse is a unique spot for craft beer lovers and curious people. On one side a craft beer bar featuring 20 drafts that rotate frequently, on the other side 10 more drafts at an innovative restaurant dedicated to beer and food pairings. CULINARY EXPERIENCES - The restaurant features seasonable and fresh products to offer a modern take on fine food. The beer sommelier will guide you to taste the best local or foreign craft beers. Don't forget the bottle list (lambics, imperial stout, etc.)","394","$$ - $$$","$24 - $35"
"Le Christine","1 rue Christine, 75006 Paris France","666","4.5","Ideally located between Saint-Michel and Saint-Germain-des-Prés, Le Christine is one of its restaurants that pass fashions without batting an eyelid. We come and come back each time with the same pleasure of savoring Chef Mehdi Bencheikh's refined cuisine, drinking fine bottles and reimagining the world in all languages ​​with tourists and neighbours. The cuisine of Mehdi Bencheikh, trained in Michelin starred restaurants, is a lively cuisine that draws its technique from the classics of French gastronomy while remaining resolutely rooted in its time. The art of the right sauce, the right seasoning and perfect cooking... A cuisine that has meaning and taste, and that does not need a label to delight every time.","1390","$$$$","$28 - $65"
"Restaurant Karma","24 rue Traversiere, 75012 Paris France","733","4.5",,"168","$","$10 - $20"
"Dulcinea","41 rue Pierre Fontaine, 75009 Paris France","715","4.5",,"784","$$ - $$$","$9 - $45"
"A Tavola","23 rue d Aguesseau, 92100 Boulogne-Billancourt France","4","4.5",,"359","$$ - $$$","$29 - $36"
"Maoz Vegetarian","8 rue Xavier Privas, 75005 Paris France","729","4.5",,"320","$","$1 - $8"
"Blueberry Maki Bar","6, Rue Du Sabot, 75006 Paris France","704","4.5",,"696","$$ - $$$","$10 - $77"
"Iovine's","7 B rue du Colonel Driant, 75001 Paris France","713","4.5",,"802","$$ - $$$","$20 - $40"
"Le Relais Louis XIII","8 rue des Grands Augustins, 75006 Paris France","732","4.5",,"578","$$$$",
"Vivre Opera Garnier","3 Rue De La Michodiere, 75002 Paris France","744","4.5",,"232","$$ - $$$","$19 - $39"
"Cafe Francoeur","129 rue Caulaincourt, 75018 Paris France","660","4.5",,"424","$$ - $$$",
"Thai Nam","23 rue des Vertus Metros : Arts et Métier ou Temple ou République ou Rambuteau, 75003 Paris France","714","4.5","Restaurant préparant une cuisine vietnamienne et thaïlandaise traditionnelle. Cuisine ""minute"", sans glutamate, élaborée à partir de produits frais. Carte variée comprenant des plats végétariens et un plat du jour. Nous vous informons que dorénavant les menus du midi sont proposés également du soir. Au plaisir de vous accueillir. L'équipe de Thai Nam Restaurant preparing traditional Vietnamese and Thai cuisine. Kitchen ""minute"", without glutamate, made from fresh products. Varied menu with vegetarian dishes and a dish of the day. We inform you that from now on the lunch menus are proposed also of the evening. Pleased to welcome you. The team of Thai Nam","363","$$ - $$$","$10 - $18"
"Laia","226 Boulevard Voltaire, 75011 Paris France","591","4.5",,"207","$$ - $$$","$15 - $40"
"Louise Cafe","8 rue Croix des Petits Champs, 75001 Paris France","693","4.5","café, brasserie familiale au cœur du PARIS historique ,proche du LOUVRE ,du PALAIS ROYAL, des HALLES et de tous les transports ! cuisine classique ,française ,simple . vous recevoir est notre plaisir!!! heures heureuses tous les jours de 17h à19h et quelques prolongations...si vous diner! venez vite nous voir...","521","$$ - $$$",
"Kagayaki","79 boulevard Beaumarchais, 75003 Paris France","742","4.5",,"266","$$ - $$$",
"Pirouette","5 rue Mondetour, 75001 Paris France","679","4.5",,"1098","$$$$",
"Le Jules Verne","Avenue Gustave Eiffel Eiffel Tower - 2nd floor, 75007 Paris France","724","4","Frédéric Anton, Meilleur ouvrier de France, n'a qu'un souhait : diriger d’une main d’orfèvre un Jules Verne luxueux pour offrir une expérience gastronomique unique au monde et ainsi combler le cœur de la mythique Dame de Fer.","857","$$$$",
"Le New York","48 avenue de New York, 75116 Paris France","696","4.5","French brasserie with a terrace with a beautiful view on the Eiffel Tower. A young and attentive service with an authentic and homemade french cuisine are the values of the New York. We will be happy to welcome you very soon !","546","$$ - $$$","$13 - $75"
"Le P'tit Velo","24 rue de Vintimille, 75009 Paris France","721","4.5","Enjoy a coffee in the morning, a tasty lunch, an afterwork drink with friends or a romatic dinner in that cosy parisian bistro, next to place de clichy and the moulin rouge. Florence and michael, the owners will welcome you from monday to saturday and you will discover the fantastique food of chef rachid ibouh.","133","$$ - $$$","$12 - $30"
